City,Cloudiness,Country,Date,Humidity,Lat,Lng,MaxTemp,WindSpeed,absLat
tuatapere,100,NZ,1570681362,95,-46.13,167.69,46.0,11.01,46.13
ballina,20,IE,1570681673,93,54.11,-9.15,55.0,1.99,54.11
nikolskoye,90,RU,1570681310,93,59.7,30.79,41.0,4.47,59.7
leningradskiy,29,RU,1570681673,74,69.38,178.42,28.35,18.42,69.38
maltahohe,0,NA,1570681673,33,-24.83,16.98,48.43,20.09,24.83
hilo,1,US,1570681320,83,19.71,-155.08,78.8,5.82,19.71
panama city,1,US,1570681674,73,30.16,-85.65,77.0,8.05,30.16
avarua,100,CK,1570681317,83,-21.21,-159.78,69.8,9.17,21.21
codrington,40,AU,1570681345,46,-28.95,153.24,71.6,13.87,28.95
barrow,0,AR,1570681328,61,-38.31,-60.23,46.89,9.1,38.31
faanui,70,PF,1570681333,81,-16.48,-151.75,75.79,18.2,16.48
hermanus,0,ZA,1570681345,64,-34.42,19.24,51.01,1.01,34.42
busselton,10,AU,1570681311,41,-33.64,115.35,75.0,9.51,33.64
new norfolk,75,AU,1570681349,76,-42.78,147.06,57.0,17.22,42.78
cockburn town,12,TC,1570681360,75,21.46,-71.14,82.83,14.94,21.46
punta arenas,75,CL,1570681304,77,-53.16,-70.91,33.8,25.28,53.16
pisco,90,PE,1570681675,82,-13.71,-76.2,60.8,9.17,13.71
hobart,75,AU,1570681307,76,-42.88,147.33,57.0,17.22,42.88
humaita,33,AR,1570681366,67,-24.93,-65.37,73.4,3.36,24.93
vaini,0,IN,1570681313,78,15.34,74.49,78.8,3.21,15.34
upernavik,23,GL,1570681331,48,72.79,-56.15,26.19,4.58,72.79
konstantinovka,8,UA,1570681676,93,46.85,29.85,54.95,14.68,46.85
jardim,1,BR,1570681676,42,-21.48,-56.15,76.23,6.42,21.48
albany,90,US,1570681309,71,42.65,-73.75,53.6,4.7,42.65
the valley,7,AI,1570681370,78,18.22,-63.06,82.0,2.24,18.22
luderitz,0,NA,1570681365,54,-26.65,15.16,55.4,10.29,26.65
walvis bay,0,NA,1570681370,82,-22.95,14.51,55.4,14.99,22.95
hasaki,75,JP,1570681677,60,35.73,140.83,77.0,10.29,35.73
whitehorse,40,CA,1570681677,84,60.72,-135.06,34.0,14.99,60.72
cururupu,0,BR,1570681677,96,-1.82,-44.87,71.92,2.98,1.82
souillac,82,FR,1570681314,93,45.6,-0.6,57.0,2.24,45.6
kodiak,90,US,1570681317,77,39.95,-94.76,63.0,6.93,39.95
culpeper,1,US,1570681678,93,38.47,-78.0,57.99,5.46,38.47
tuktoyaktuk,40,CA,1570681327,81,69.44,-133.03,32.0,5.82,69.44
provideniya,40,RU,1570681334,64,64.42,-173.23,35.6,13.42,64.42
hithadhoo,48,MV,1570681338,75,-0.6,73.08,82.47,10.52,0.6
benjamin constant,75,BR,1570681678,100,-4.38,-70.03,71.6,3.36,4.38
mar del plata,0,AR,1570681305,40,-46.43,-67.52,53.13,19.64,46.43
arraial do cabo,100,BR,1570681322,88,-22.97,-42.02,70.79,5.35,22.97
jamestown,52,AU,1570681307,23,-33.21,138.6,69.6,4.87,33.21
bartica,20,GY,1570681679,94,6.41,-58.62,77.0,4.7,6.41
qaanaaq,100,GL,1570681324,93,77.48,-69.36,24.21,13.05,77.48
dover,90,US,1570681680,87,39.16,-75.52,57.0,8.05,39.16
airai,46,TL,1570681374,28,-8.93,125.41,86.88,9.6,8.93
grand gaube,75,MU,1570681680,73,-20.01,57.66,73.0,12.75,20.01
saint george,20,GR,1570681320,100,39.45,22.34,55.4,3.36,39.45
mahe,75,IN,1570681680,88,11.7,75.54,82.4,2.24,11.7
tarko-sale,100,RU,1570681681,76,64.92,77.78,37.0,27.14,64.92
san policarpo,100,PH,1570681681,80,12.18,125.51,84.6,8.48,12.18
yellowknife,75,CA,1570681318,59,62.45,-114.38,35.01,6.93,62.45
kolokani,6,ML,1570681681,77,13.58,-8.03,75.78,11.63,13.58
unai,58,BR,1570681682,68,-16.36,-46.91,74.35,1.7,16.36
shingu,75,JP,1570681440,61,33.72,135.99,80.6,6.93,33.72
lander,90,US,1570681682,85,42.83,-108.73,23.0,8.05,42.83
bluff,0,AU,1570681321,32,-23.58,149.07,81.81,5.31,23.58
cherskiy,0,RU,1570681682,85,68.75,161.3,20.14,5.51,68.75
kavaratti,20,IN,1570681349,79,10.57,72.64,86.0,2.05,10.57
east london,92,ZA,1570681325,93,-33.02,27.91,53.6,10.29,33.02
muros,15,ES,1570681366,100,42.77,-9.06,57.0,3.36,42.77
bandarbeyla,15,SO,1570681683,88,9.49,50.81,79.03,9.02,9.49
rikitea,100,PF,1570681303,60,-23.12,-134.97,69.15,9.56,23.12
saskylakh,93,RU,1570681327,94,71.97,114.09,12.47,13.44,71.97
ajaccio,1,FR,1570681684,93,41.93,8.74,68.0,6.93,41.93
bethel,90,US,1570681347,93,60.79,-161.76,39.2,13.87,60.79
cape town,0,ZA,1570681311,62,-33.93,18.42,55.0,18.34,33.93
fuzhou,20,CN,1570681684,48,26.08,119.3,82.4,6.71,26.08
