City,Cloudiness,Country,timestamp,Humidity,Lat,Lng,MaxTemp,WindSpeed,absLat
aasiaat,100,GL,1570051562,64,68.71,-52.87,43.39,26.8,68.71
abalak,99,NE,1570051610,38,15.46,6.28,88.71,14.5,15.46
abatskoye,50,RU,1570050759,68,56.29,70.46,40.44,12.93,56.29
abay,0,KZ,1570050731,85,49.63,72.87,21.2,8.95,49.63
abdanan,0,IR,1570047605,25,32.99,47.42,77.23,6.64,32.99
abnub,0,EG,1570052964,33,27.27,31.15,78,9.17,27.27
abramovka,0,GE,1570052871,59,41.47,45.01,62.6,1.01,41.47
abu dhabi,80,AE,1570050524,70,24.47,54.37,87.8,3.36,24.47
abu kamal,0,SY,1570047611,30,34.45,40.92,79.51,13.82,34.45
abu samrah,0,SY,1570050696,89,35.3,37.18,66.81,8.52,35.3
abu zabad,54,SD,1570050544,63,12.35,29.25,79.95,5.1,12.35
acapulco,75,MX,1570050921,74,16.86,-99.88,86,9.17,16.86
acari,32,BR,1570047616,46,-6.44,-36.64,83.37,21.56,6.44
aden,0,YE,1570050795,67,12.79,45.03,85.53,12.95,12.79
adrar,0,DZ,1570047527,13,27.87,-0.29,95,6.93,27.87
adrasmon,20,TJ,1570051536,87,40.65,69.99,57.2,6.71,40.65
aflao,40,TG,1570051582,100,6.12,1.19,75.2,2.24,6.12
afyonkarahisar,56,TR,1570051557,56,38.76,30.53,59.77,2.89,38.76
agadez,1,NE,1570051000,16,16.97,7.99,93.2,7.43,16.97
aginskoye,58,RU,1570050921,65,51.11,114.54,27.28,2.04,51.11
agirish,100,RU,1570050741,95,61.92,63.02,43.41,6.33,61.92
agua dulce,75,MX,1570047507,78,18.14,-94.15,80.6,11.41,18.14
aguadilla,1,PR,1570047319,83,18.43,-67.15,87.01,9.17,18.43
aguilas,100,ES,1570050805,57,37.41,-1.58,72,2.17,37.41
aguimes,0,ES,1570047631,57,27.91,-15.45,78.8,17.22,27.91
ahipara,42,NZ,1570047540,92,-35.17,173.16,53.01,17.02,35.17
ahvaz,0,IR,1570047612,31,31.32,48.68,87.8,4.7,31.32
airai,0,TL,1570050690,58,-8.93,125.41,68.53,2.95,8.93
ajaccio,0,FR,1570051529,77,41.93,8.74,68,6.93,41.93
akdepe,0,TM,1570052926,49,42.05,59.39,50,6.93,42.05
aklavik,40,CA,1570050717,80,68.22,-135.01,41,11.41,68.22
akom,99,CM,1570050954,97,2.67,12.71,68.35,2.62,2.67
aksarka,52,RU,1570051023,81,66.56,67.8,41.35,16.67,66.56
aku,63,NG,1570047593,98,7.36,7.54,71.59,5.99,7.36
akureyri,0,IS,1570051620,86,65.68,-18.09,33.8,8.05,65.68
alakurtti,0,RU,1570052940,88,66.96,30.34,27,5.01,66.96
alamos,0,AR,1570047514,27,-36.9,-62.36,62.27,12.93,36.9
albania,100,CO,1570050736,81,5.76,-73.91,73.7,2.98,5.76
albany,90,US,1570050518,82,42.65,-73.75,64.4,10.29,42.65
alcaniz,15,ES,1570050775,64,41.05,-0.13,60.01,14,41.05
aldan,93,RU,1570052932,84,58.61,125.39,26.49,6.31,58.61
aleksandrovsk-sakhalinskiy,100,RU,1570050927,90,50.9,142.16,40.13,25.84,50.9
alexandria,0,RO,1570050715,48,43.97,25.33,69.09,8.77,43.97
algeciras,99,ES,1570051610,72,36.13,-5.45,73.4,18.34,36.13
alice springs,0,AU,1570047603,27,-23.7,133.88,64.4,8.05,23.7
alindao,100,CF,1570050751,95,5.04,21.21,70.17,2.66,5.04
aljezur,100,PT,1570050968,68,37.31,-8.8,66,17.76,37.31
allapalli,97,IN,1570052833,94,19.43,80.06,73.23,0.76,19.43
almazar,20,UZ,1570050768,82,40.32,69.01,59,8.95,40.32
alofi,40,NU,1570050764,74,-19.06,-169.92,80.6,6.93,19.06
along,54,IN,1570052883,93,28.17,94.8,53.77,3.74,28.17
alot,18,IN,1570047551,90,23.76,75.56,71.74,7.18,23.76
alta floresta,97,BR,1570047389,64,-9.87,-56.08,81.62,1.5,9.87
altay,0,CN,1570050793,39,47.83,88.13,29.62,9.17,47.83
altos,20,BR,1570050695,30,-5.04,-42.46,96.8,2.24,5.04
alugan,43,PH,1570050776,96,12.22,125.48,73.38,1.54,12.22
alvaraes,20,BR,1570051604,88,-3.22,-64.8,80.6,4.7,3.22
alyangula,100,AU,1570047594,94,-13.85,136.42,69.8,13.89,13.85
amalapuram,100,IN,1570047624,89,16.58,82,77.97,3.8,16.58
amapa,40,HN,1570051602,62,15.09,-87.97,89.6,12.75,15.09
amarante do maranhao,49,BR,1570052832,77,-5.57,-46.74,75.07,1.81,5.57
amberley,95,NZ,1570050745,61,-43.15,172.73,48.99,6.93,43.15
amboasary,75,MG,1570052924,94,-25.04,46.38,69.8,4.7,25.04
ambovombe,100,MG,1570050755,85,-25.18,46.09,72.44,21.63,25.18
ambulu,0,ID,1570047555,89,-8.35,113.61,74.74,3.69,8.35
ambunti,34,PG,1570051034,99,-4.22,142.82,72.19,1.1,4.22
amos,75,CA,1570047523,65,48.57,-78.12,45,16.11,48.57
amot,32,NO,1570050688,87,59.57,7.99,30.46,3.56,59.57
anadyr,40,RU,1570047400,80,64.73,177.51,30.2,15.66,64.73
anahuac,0,MX,1570050794,47,26.44,-109.02,95,3,26.44
anamur,0,TR,1570052890,93,36.08,32.84,66.2,3.36,36.08
ancona,40,US,1570050734,78,41.04,-88.87,80.01,8.05,41.04
ancud,20,CL,1570050763,50,-41.87,-73.83,51.8,5.82,41.87
andilamena,98,MG,1570050806,83,-17.01,48.57,64.97,6.98,17.01
andros town,11,BS,1570047557,71,24.73,-77.79,82.92,13.76,24.73
angoche,73,MZ,1570051020,86,-16.23,39.91,76.83,5.97,16.23
anito,43,PH,1570051550,96,12.45,125.29,73.38,1.54,12.45
ankang,63,CN,1570051583,87,32.73,108.99,64.75,3.09,32.73
ankpa,63,NG,1570052949,98,7.37,7.63,71.59,5.99,7.37
antalaha,100,MG,1570050965,97,-14.9,50.28,64.86,3.42,14.9
antofagasta,90,CL,1570050537,77,-23.65,-70.4,59,17.22,23.65
antropovo,0,RU,1570051613,62,55.25,37.65,60.8,8.95,55.25
antsohihy,86,MG,1570050708,70,-14.88,47.99,78.63,6.42,14.88
apatity,1,RU,1570050798,83,67.57,33.4,29.96,9.04,67.57
aquiraz,0,BR,1570050699,61,-3.9,-38.39,82.4,16.11,3.9
araguaina,33,BR,1570051031,73,-7.19,-48.21,80.5,2.91,7.19
araouane,91,ML,1570047614,15,18.9,-3.53,97.35,5.46,18.9
ardakan,20,IR,1570050803,17,32.31,54.02,77,6.93,32.31
ardesen,0,TR,1570050959,64,41.19,40.99,68,17.22,41.19
areka,100,ET,1570050744,90,7.07,37.71,64.45,2.13,7.07
aripuana,89,BR,1570050711,62,-9.17,-60.63,85.44,1.41,9.17
arlit,48,NE,1570050689,9,18.74,7.39,93.05,11.05,18.74
arman,100,RU,1570051022,83,59.7,150.17,25.21,5.37,59.7
armeria,75,MX,1570051623,70,18.93,-103.97,89.6,11.41,18.93
arnedo,20,ES,1570050517,77,42.23,-2.1,60.8,6.93,42.23
arona,0,IT,1570050947,87,45.76,8.56,66.99,9.17,45.76
arraial do cabo,0,BR,1570050690,69,-22.97,-42.02,75.2,16.11,22.97
arys,4,KZ,1570050921,71,42.43,68.8,53.6,6.71,42.43
ashington,75,GB,1570050959,87,55.18,-1.57,50,5.82,55.18
askarovo,40,RU,1570051589,56,53.34,58.51,41,8.95,53.34
assiniboia,100,CA,1570047621,86,49.63,-105.99,41.23,6.76,49.63
asyut,0,EG,1570052912,33,27.18,31.19,78,9.17,27.18
atagay,100,RU,1570052844,70,55.1,99.39,32.16,4.05,55.1
atar,0,MR,1570050888,8,20.52,-13.05,99.57,9.95,20.52
atasu,0,KZ,1570047573,35,48.68,71.64,39.88,6.02,48.68
atbasar,0,KZ,1570052880,45,51.81,68.36,40.89,6.35,51.81
ati,5,TD,1570051003,59,13.21,18.34,83.13,16.37,13.21
atuona,4,PF,1570050441,73,-9.8,-139.03,79.46,9.78,9.8
